Hora;Day of din_instante;Measure Names;Avg. Val Geraç‹o FIXED Hora;Measure Values;;
00:00;;M’nimo Mensal;;0;;
01:00;;M’nimo Mensal;;0;;
02:00;;M’nimo Mensal;;0;;
03:00;;M’nimo Mensal;;0;;
04:00;;M’nimo Mensal;;0;;getulina conj  Guaimbê (UFV)
05:00;;M’nimo Mensal;;0;;
06:00;;M’nimo Mensal;;0;;
07:00;;M’nimo Mensal;;4.464;;
08:00;;M’nimo Mensal;;13.147;;
09:00;;M’nimo Mensal;;26.237;;
10:00;;M’nimo Mensal;;34.819;;
11:00;;M’nimo Mensal;;24.826;;
12:00;;M’nimo Mensal;;47.65;;
13:00;;M’nimo Mensal;;9.259;;
14:00;;M’nimo Mensal;;4.982;;
15:00;;M’nimo Mensal;;2.419;;
16:00;;M’nimo Mensal;;2.333;;
17:00;;M’nimo Mensal;;0.086;;
18:00;;M’nimo Mensal;;0;;
19:00;;M’nimo Mensal;;0;;
20:00;;M’nimo Mensal;;0;;
21:00;;M’nimo Mensal;;0;;
22:00;;M’nimo Mensal;;0;;
23:00;;M’nimo Mensal;;0;;
00:00;;M_dia mensal;;0;;
01:00;;M_dia mensal;;0;;
02:00;;M_dia mensal;;0;;
03:00;;M_dia mensal;;0;;
04:00;;M_dia mensal;;0;;
05:00;;M_dia mensal;;0;;
06:00;;M_dia mensal;;1.143.193.548;;
07:00;;M_dia mensal;;17.062.612.903;;
08:00;;M_dia mensal;;45.819.419.355;;
09:00;;M_dia mensal;;74.244.064.516;;
10:00;;M_dia mensal;;91.724.774.194;;
11:00;;M_dia mensal;;104.159.903.226;;
12:00;;M_dia mensal;;103.915.064.516;;
13:00;;M_dia mensal;;99.539.741.935;;
14:00;;M_dia mensal;;87.387.967.742;;
15:00;;M_dia mensal;;70.508.903.226;;
16:00;;M_dia mensal;;42.790.677.419;;
17:00;;M_dia mensal;;14.073.806.452;;
18:00;;M_dia mensal;;1.019.967.742;;
19:00;;M_dia mensal;;0;;
20:00;;M_dia mensal;;0;;
21:00;;M_dia mensal;;0;;
22:00;;M_dia mensal;;0;;
23:00;;M_dia mensal;;0;;
00:00;;M‡ximo mensal;;0;;
01:00;;M‡ximo mensal;;0;;
02:00;;M‡ximo mensal;;0;;
03:00;;M‡ximo mensal;;0;;
04:00;;M‡ximo mensal;;0;;
05:00;;M‡ximo mensal;;0;;
06:00;;M‡ximo mensal;;2.966;;
07:00;;M‡ximo mensal;;29.419;;
08:00;;M‡ximo mensal;;68.299;;
09:00;;M‡ximo mensal;;103.018;;
10:00;;M‡ximo mensal;;126.259;;
11:00;;M‡ximo mensal;;139.277;;
12:00;;M‡ximo mensal;;142.171;;
13:00;;M‡ximo mensal;;137.563;;
14:00;;M‡ximo mensal;;124.718;;
15:00;;M‡ximo mensal;;118.814;;
16:00;;M‡ximo mensal;;71.683;;
17:00;;M‡ximo mensal;;31.968;;
18:00;;M‡ximo mensal;;3.686;;
19:00;;M‡ximo mensal;;0;;
20:00;;M‡ximo mensal;;0;;
21:00;;M‡ximo mensal;;0;;
22:00;;M‡ximo mensal;;0;;
23:00;;M‡ximo mensal;;0;;
00:00;March 31, 2022;;0;;;
01:00;March 31, 2022;;0;;;
02:00;March 31, 2022;;0;;;
03:00;March 31, 2022;;0;;;
04:00;March 31, 2022;;0;;;
05:00;March 31, 2022;;0;;;
06:00;March 31, 2022;;1.339;;;
07:00;March 31, 2022;;26.611;;;
08:00;March 31, 2022;;59.213;;;
09:00;March 31, 2022;;79.92;;;
10:00;March 31, 2022;;92.563;;;
11:00;March 31, 2022;;126.072;;;
12:00;March 31, 2022;;53.251;;;
13:00;March 31, 2022;;9.259;;;
14:00;March 31, 2022;;4.982;;;
15:00;March 31, 2022;;2.419;;;
16:00;March 31, 2022;;2.333;;;
17:00;March 31, 2022;;0.086;;;
18:00;March 31, 2022;;0;;;
19:00;March 31, 2022;;0;;;
20:00;March 31, 2022;;0;;;
21:00;March 31, 2022;;0;;;
22:00;March 31, 2022;;0;;;
23:00;March 31, 2022;;0;;;
00:00;March 30, 2022;;0;;;
01:00;March 30, 2022;;0;;;
02:00;March 30, 2022;;0;;;
03:00;March 30, 2022;;0;;;
04:00;March 30, 2022;;0;;;
05:00;March 30, 2022;;0;;;
06:00;March 30, 2022;;1.267;;;
07:00;March 30, 2022;;23.458;;;
08:00;March 30, 2022;;61.603;;;
09:00;March 30, 2022;;94.363;;;
10:00;March 30, 2022;;116.165;;;
11:00;March 30, 2022;;114.235;;;
12:00;March 30, 2022;;80.582;;;
13:00;March 30, 2022;;89.136;;;
14:00;March 30, 2022;;78.538;;;
15:00;March 30, 2022;;60.725;;;
16:00;March 30, 2022;;44.942;;;
17:00;March 30, 2022;;12.398;;;
18:00;March 30, 2022;;0.59;;;
19:00;March 30, 2022;;0;;;
20:00;March 30, 2022;;0;;;
21:00;March 30, 2022;;0;;;
22:00;March 30, 2022;;0;;;
23:00;March 30, 2022;;0;;;
00:00;March 29, 2022;;0;;;
01:00;March 29, 2022;;0;;;
02:00;March 29, 2022;;0;;;
03:00;March 29, 2022;;0;;;
04:00;March 29, 2022;;0;;;
05:00;March 29, 2022;;0;;;
06:00;March 29, 2022;;0.907;;;
07:00;March 29, 2022;;19.008;;;
08:00;March 29, 2022;;64.843;;;
09:00;March 29, 2022;;99.878;;;
10:00;March 29, 2022;;122.544;;;
11:00;March 29, 2022;;134.15;;;
12:00;March 29, 2022;;135.317;;;
13:00;March 29, 2022;;129.557;;;
14:00;March 29, 2022;;115.589;;;
15:00;March 29, 2022;;91.786;;;
16:00;March 29, 2022;;60.869;;;
17:00;March 29, 2022;;22.075;;;
18:00;March 29, 2022;;0.835;;;
19:00;March 29, 2022;;0;;;
20:00;March 29, 2022;;0;;;
21:00;March 29, 2022;;0;;;
22:00;March 29, 2022;;0;;;
23:00;March 29, 2022;;0;;;
00:00;March 28, 2022;;0;;;
01:00;March 28, 2022;;0;;;
02:00;March 28, 2022;;0;;;
03:00;March 28, 2022;;0;;;
04:00;March 28, 2022;;0;;;
05:00;March 28, 2022;;0;;;
06:00;March 28, 2022;;0.605;;;
07:00;March 28, 2022;;14.904;;;
08:00;March 28, 2022;;51.322;;;
09:00;March 28, 2022;;98.914;;;
10:00;March 28, 2022;;120.384;;;
11:00;March 28, 2022;;123.336;;;
12:00;March 28, 2022;;77.27;;;
13:00;March 28, 2022;;95.27;;;
14:00;March 28, 2022;;105.178;;;
15:00;March 28, 2022;;67.075;;;
16:00;March 28, 2022;;22.147;;;
17:00;March 28, 2022;;18.274;;;
18:00;March 28, 2022;;0.893;;;
19:00;March 28, 2022;;0;;;
20:00;March 28, 2022;;0;;;
21:00;March 28, 2022;;0;;;
22:00;March 28, 2022;;0;;;
23:00;March 28, 2022;;0;;;
00:00;March 27, 2022;;0;;;
01:00;March 27, 2022;;0;;;
02:00;March 27, 2022;;0;;;
03:00;March 27, 2022;;0;;;
04:00;March 27, 2022;;0;;;
05:00;March 27, 2022;;0;;;
06:00;March 27, 2022;;0.072;;;
07:00;March 27, 2022;;6.581;;;
08:00;March 27, 2022;;23.803;;;
09:00;March 27, 2022;;31.522;;;
10:00;March 27, 2022;;34.819;;;
11:00;March 27, 2022;;52.243;;;
12:00;March 27, 2022;;63.187;;;
13:00;March 27, 2022;;77.472;;;
14:00;March 27, 2022;;68.011;;;
15:00;March 27, 2022;;49.478;;;
16:00;March 27, 2022;;16.445;;;
17:00;March 27, 2022;;21.686;;;
18:00;March 27, 2022;;0.086;;;
19:00;March 27, 2022;;0;;;
20:00;March 27, 2022;;0;;;
21:00;March 27, 2022;;0;;;
22:00;March 27, 2022;;0;;;
23:00;March 27, 2022;;0;;;
00:00;March 26, 2022;;0;;;
01:00;March 26, 2022;;0;;;
02:00;March 26, 2022;;0;;;
03:00;March 26, 2022;;0;;;
04:00;March 26, 2022;;0;;;
05:00;March 26, 2022;;0;;;
06:00;March 26, 2022;;0.446;;;
07:00;March 26, 2022;;12.312;;;
08:00;March 26, 2022;;53.741;;;
09:00;March 26, 2022;;83.707;;;
10:00;March 26, 2022;;86.141;;;
11:00;March 26, 2022;;81.792;;;
12:00;March 26, 2022;;103.133;;;
13:00;March 26, 2022;;94.594;;;
14:00;March 26, 2022;;66.542;;;
15:00;March 26, 2022;;55.541;;;
16:00;March 26, 2022;;37.699;;;
17:00;March 26, 2022;;13.982;;;
18:00;March 26, 2022;;0.922;;;
19:00;March 26, 2022;;0;;;
20:00;March 26, 2022;;0;;;
21:00;March 26, 2022;;0;;;
22:00;March 26, 2022;;0;;;
23:00;March 26, 2022;;0;;;
00:00;March 25, 2022;;0;;;
01:00;March 25, 2022;;0;;;
02:00;March 25, 2022;;0;;;
03:00;March 25, 2022;;0;;;
04:00;March 25, 2022;;0;;;
05:00;March 25, 2022;;0;;;
06:00;March 25, 2022;;0;;;
07:00;March 25, 2022;;4.464;;;
08:00;March 25, 2022;;21.773;;;
09:00;March 25, 2022;;53.179;;;
10:00;March 25, 2022;;36.101;;;
11:00;March 25, 2022;;74.477;;;
12:00;March 25, 2022;;70.402;;;
13:00;March 25, 2022;;70.459;;;
14:00;March 25, 2022;;83.621;;;
15:00;March 25, 2022;;48.442;;;
16:00;March 25, 2022;;23.904;;;
17:00;March 25, 2022;;6.898;;;
18:00;March 25, 2022;;0.043;;;
19:00;March 25, 2022;;0;;;
20:00;March 25, 2022;;0;;;
21:00;March 25, 2022;;0;;;
22:00;March 25, 2022;;0;;;
23:00;March 25, 2022;;0;;;
00:00;March 24, 2022;;0;;;
01:00;March 24, 2022;;0;;;
02:00;March 24, 2022;;0;;;
03:00;March 24, 2022;;0;;;
04:00;March 24, 2022;;0;;;
05:00;March 24, 2022;;0;;;
06:00;March 24, 2022;;1.469;;;
07:00;March 24, 2022;;24.091;;;
08:00;March 24, 2022;;64.066;;;
09:00;March 24, 2022;;97.2;;;
10:00;March 24, 2022;;118.656;;;
11:00;March 24, 2022;;128.419;;;
12:00;March 24, 2022;;83.578;;;
13:00;March 24, 2022;;107.093;;;
14:00;March 24, 2022;;82.742;;;
15:00;March 24, 2022;;48.557;;;
16:00;March 24, 2022;;26.77;;;
17:00;March 24, 2022;;8.222;;;
18:00;March 24, 2022;;0.432;;;
19:00;March 24, 2022;;0;;;
20:00;March 24, 2022;;0;;;
21:00;March 24, 2022;;0;;;
22:00;March 24, 2022;;0;;;
23:00;March 24, 2022;;0;;;
00:00;March 23, 2022;;0;;;
01:00;March 23, 2022;;0;;;
02:00;March 23, 2022;;0;;;
03:00;March 23, 2022;;0;;;
04:00;March 23, 2022;;0;;;
05:00;March 23, 2022;;0;;;
06:00;March 23, 2022;;1.022;;;
07:00;March 23, 2022;;29.419;;;
08:00;March 23, 2022;;65.534;;;
09:00;March 23, 2022;;99.72;;;
10:00;March 23, 2022;;122.674;;;
11:00;March 23, 2022;;134.093;;;
12:00;March 23, 2022;;135.821;;;
13:00;March 23, 2022;;118.714;;;
14:00;March 23, 2022;;106.56;;;
15:00;March 23, 2022;;86.947;;;
16:00;March 23, 2022;;48.571;;;
17:00;March 23, 2022;;22.752;;;
18:00;March 23, 2022;;0.518;;;
19:00;March 23, 2022;;0;;;
20:00;March 23, 2022;;0;;;
21:00;March 23, 2022;;0;;;
22:00;March 23, 2022;;0;;;
23:00;March 23, 2022;;0;;;
00:00;March 22, 2022;;0;;;
01:00;March 22, 2022;;0;;;
02:00;March 22, 2022;;0;;;
03:00;March 22, 2022;;0;;;
04:00;March 22, 2022;;0;;;
05:00;March 22, 2022;;0;;;
06:00;March 22, 2022;;1.469;;;
07:00;March 22, 2022;;25.186;;;
08:00;March 22, 2022;;67.478;;;
09:00;March 22, 2022;;103.018;;;
10:00;March 22, 2022;;126.259;;;
11:00;March 22, 2022;;139.277;;;
12:00;March 22, 2022;;141.926;;;
13:00;March 22, 2022;;135.778;;;
14:00;March 22, 2022;;120.946;;;
15:00;March 22, 2022;;96.84;;;
16:00;March 22, 2022;;53.798;;;
17:00;March 22, 2022;;25.142;;;
18:00;March 22, 2022;;1.354;;;
19:00;March 22, 2022;;0;;;
20:00;March 22, 2022;;0;;;
21:00;March 22, 2022;;0;;;
22:00;March 22, 2022;;0;;;
23:00;March 22, 2022;;0;;;
00:00;March 21, 2022;;0;;;
01:00;March 21, 2022;;0;;;
02:00;March 21, 2022;;0;;;
03:00;March 21, 2022;;0;;;
04:00;March 21, 2022;;0;;;
05:00;March 21, 2022;;0;;;
06:00;March 21, 2022;;0.806;;;
07:00;March 21, 2022;;16.618;;;
08:00;March 21, 2022;;68.299;;;
09:00;March 21, 2022;;102.485;;;
10:00;March 21, 2022;;126;;;
11:00;March 21, 2022;;138.946;;;
12:00;March 21, 2022;;142.171;;;
13:00;March 21, 2022;;137.563;;;
14:00;March 21, 2022;;121.752;;;
15:00;March 21, 2022;;82.037;;;
16:00;March 21, 2022;;49.104;;;
17:00;March 21, 2022;;14.846;;;
18:00;March 21, 2022;;1.166;;;
19:00;March 21, 2022;;0;;;
20:00;March 21, 2022;;0;;;
21:00;March 21, 2022;;0;;;
22:00;March 21, 2022;;0;;;
23:00;March 21, 2022;;0;;;
00:00;March 20, 2022;;0;;;
01:00;March 20, 2022;;0;;;
02:00;March 20, 2022;;0;;;
03:00;March 20, 2022;;0;;;
04:00;March 20, 2022;;0;;;
05:00;March 20, 2022;;0;;;
06:00;March 20, 2022;;0.979;;;
07:00;March 20, 2022;;14.112;;;
08:00;March 20, 2022;;30.37;;;
09:00;March 20, 2022;;49.306;;;
10:00;March 20, 2022;;79.56;;;
11:00;March 20, 2022;;100.57;;;
12:00;March 20, 2022;;88.229;;;
13:00;March 20, 2022;;60.379;;;
14:00;March 20, 2022;;32.688;;;
15:00;March 20, 2022;;43.79;;;
16:00;March 20, 2022;;32.717;;;
17:00;March 20, 2022;;17.021;;;
18:00;March 20, 2022;;0.59;;;
19:00;March 20, 2022;;0;;;
20:00;March 20, 2022;;0;;;
21:00;March 20, 2022;;0;;;
22:00;March 20, 2022;;0;;;
23:00;March 20, 2022;;0;;;
00:00;March 19, 2022;;0;;;
01:00;March 19, 2022;;0;;;
02:00;March 19, 2022;;0;;;
03:00;March 19, 2022;;0;;;
04:00;March 19, 2022;;0;;;
05:00;March 19, 2022;;0;;;
06:00;March 19, 2022;;0;;;
07:00;March 19, 2022;;7.934;;;
08:00;March 19, 2022;;26.15;;;
09:00;March 19, 2022;;33.005;;;
10:00;March 19, 2022;;38.189;;;
11:00;March 19, 2022;;60.898;;;
12:00;March 19, 2022;;110.117;;;
13:00;March 19, 2022;;86.371;;;
14:00;March 19, 2022;;55.022;;;
15:00;March 19, 2022;;27.763;;;
16:00;March 19, 2022;;10.771;;;
17:00;March 19, 2022;;0.619;;;
18:00;March 19, 2022;;0;;;
19:00;March 19, 2022;;0;;;
20:00;March 19, 2022;;0;;;
21:00;March 19, 2022;;0;;;
22:00;March 19, 2022;;0;;;
23:00;March 19, 2022;;0;;;
00:00;March 18, 2022;;0;;;
01:00;March 18, 2022;;0;;;
02:00;March 18, 2022;;0;;;
03:00;March 18, 2022;;0;;;
04:00;March 18, 2022;;0;;;
05:00;March 18, 2022;;0;;;
06:00;March 18, 2022;;1.57;;;
07:00;March 18, 2022;;25.646;;;
08:00;March 18, 2022;;56.088;;;
09:00;March 18, 2022;;96.538;;;
10:00;March 18, 2022;;118.397;;;
11:00;March 18, 2022;;124.834;;;
12:00;March 18, 2022;;115.502;;;
13:00;March 18, 2022;;92.995;;;
14:00;March 18, 2022;;84.154;;;
15:00;March 18, 2022;;96.682;;;
16:00;March 18, 2022;;56.592;;;
17:00;March 18, 2022;;27.518;;;
