Hora;Day of din_instante;Measure Names;Avg. Val Geraç‹o FIXED Hora;Measure Values;;
18:00;March 18, 2022;;1.138;;;
19:00;March 18, 2022;;0;;;
20:00;March 18, 2022;;0;;;
21:00;March 18, 2022;;0;;;
22:00;March 18, 2022;;0;;;
23:00;March 18, 2022;;0;;;
00:00;March 17, 2022;;0;;;
01:00;March 17, 2022;;0;;;
02:00;March 17, 2022;;0;;;
03:00;March 17, 2022;;0;;;
04:00;March 17, 2022;;0;;;
05:00;March 17, 2022;;0;;;
06:00;March 17, 2022;;1.123;;;
07:00;March 17, 2022;;20.146;;;
08:00;March 17, 2022;;54.835;;;
09:00;March 17, 2022;;73.872;;;
10:00;March 17, 2022;;112.478;;;
11:00;March 17, 2022;;129.456;;;
12:00;March 17, 2022;;127.066;;;
13:00;March 17, 2022;;87.437;;;
14:00;March 17, 2022;;112.118;;;
15:00;March 17, 2022;;94.522;;;
16:00;March 17, 2022;;54.216;;;
17:00;March 17, 2022;;26.726;;;
18:00;March 17, 2022;;1.8;;;
19:00;March 17, 2022;;0;;;
20:00;March 17, 2022;;0;;;
21:00;March 17, 2022;;0;;;
22:00;March 17, 2022;;0;;;
23:00;March 17, 2022;;0;;;
00:00;March 16, 2022;;0;;;
01:00;March 16, 2022;;0;;;
02:00;March 16, 2022;;0;;;
03:00;March 16, 2022;;0;;;
04:00;March 16, 2022;;0;;;
05:00;March 16, 2022;;0;;;
06:00;March 16, 2022;;0.778;;;
07:00;March 16, 2022;;7.978;;;
08:00;March 16, 2022;;13.738;;;
09:00;March 16, 2022;;37.757;;;
10:00;March 16, 2022;;89.309;;;
11:00;March 16, 2022;;112.939;;;
12:00;March 16, 2022;;83.174;;;
13:00;March 16, 2022;;61.402;;;
14:00;March 16, 2022;;55.555;;;
15:00;March 16, 2022;;21.053;;;
16:00;March 16, 2022;;28.699;;;
17:00;March 16, 2022;;3.312;;;
18:00;March 16, 2022;;0.835;;;
19:00;March 16, 2022;;0;;;
20:00;March 16, 2022;;0;;;
21:00;March 16, 2022;;0;;;
22:00;March 16, 2022;;0;;;
23:00;March 16, 2022;;0;;;
00:00;March 15, 2022;;0;;;
01:00;March 15, 2022;;0;;;
02:00;March 15, 2022;;0;;;
03:00;March 15, 2022;;0;;;
04:00;March 15, 2022;;0;;;
05:00;March 15, 2022;;0;;;
06:00;March 15, 2022;;2.218;;;
07:00;March 15, 2022;;14.342;;;
08:00;March 15, 2022;;37.282;;;
09:00;March 15, 2022;;65.462;;;
10:00;March 15, 2022;;59.544;;;
11:00;March 15, 2022;;24.826;;;
12:00;March 15, 2022;;47.65;;;
13:00;March 15, 2022;;97.272;;;
14:00;March 15, 2022;;114.163;;;
15:00;March 15, 2022;;100.094;;;
16:00;March 15, 2022;;50.486;;;
17:00;March 15, 2022;;4.392;;;
18:00;March 15, 2022;;0.216;;;
19:00;March 15, 2022;;0;;;
20:00;March 15, 2022;;0;;;
21:00;March 15, 2022;;0;;;
22:00;March 15, 2022;;0;;;
23:00;March 15, 2022;;0;;;
00:00;March 14, 2022;;0;;;
01:00;March 14, 2022;;0;;;
02:00;March 14, 2022;;0;;;
03:00;March 14, 2022;;0;;;
04:00;March 14, 2022;;0;;;
05:00;March 14, 2022;;0;;;
06:00;March 14, 2022;;2.909;;;
07:00;March 14, 2022;;24.624;;;
08:00;March 14, 2022;;33.739;;;
09:00;March 14, 2022;;55.814;;;
10:00;March 14, 2022;;48.96;;;
11:00;March 14, 2022;;43.43;;;
12:00;March 14, 2022;;103.176;;;
13:00;March 14, 2022;;92.102;;;
14:00;March 14, 2022;;66.47;;;
15:00;March 14, 2022;;98.698;;;
16:00;March 14, 2022;;49.723;;;
17:00;March 14, 2022;;5.962;;;
18:00;March 14, 2022;;2.246;;;
19:00;March 14, 2022;;0;;;
20:00;March 14, 2022;;0;;;
21:00;March 14, 2022;;0;;;
22:00;March 14, 2022;;0;;;
23:00;March 14, 2022;;0;;;
00:00;March 13, 2022;;0;;;
01:00;March 13, 2022;;0;;;
02:00;March 13, 2022;;0;;;
03:00;March 13, 2022;;0;;;
04:00;March 13, 2022;;0;;;
05:00;March 13, 2022;;0;;;
06:00;March 13, 2022;;0.058;;;
07:00;March 13, 2022;;4.723;;;
08:00;March 13, 2022;;13.147;;;
09:00;March 13, 2022;;26.237;;;
10:00;March 13, 2022;;40.032;;;
11:00;March 13, 2022;;50.27;;;
12:00;March 13, 2022;;82.8;;;
13:00;March 13, 2022;;130.694;;;
14:00;March 13, 2022;;112.435;;;
15:00;March 13, 2022;;64.512;;;
16:00;March 13, 2022;;35.482;;;
17:00;March 13, 2022;;7.128;;;
18:00;March 13, 2022;;0.634;;;
19:00;March 13, 2022;;0;;;
20:00;March 13, 2022;;0;;;
21:00;March 13, 2022;;0;;;
22:00;March 13, 2022;;0;;;
23:00;March 13, 2022;;0;;;
00:00;March 12, 2022;;0;;;
01:00;March 12, 2022;;0;;;
02:00;March 12, 2022;;0;;;
03:00;March 12, 2022;;0;;;
04:00;March 12, 2022;;0;;;
05:00;March 12, 2022;;0;;;
06:00;March 12, 2022;;0.086;;;
07:00;March 12, 2022;;6.019;;;
08:00;March 12, 2022;;31.68;;;
09:00;March 12, 2022;;53.237;;;
10:00;March 12, 2022;;96.192;;;
11:00;March 12, 2022;;107.654;;;
12:00;March 12, 2022;;124.402;;;
13:00;March 12, 2022;;92.376;;;
14:00;March 12, 2022;;69.048;;;
15:00;March 12, 2022;;83.203;;;
16:00;March 12, 2022;;22.478;;;
17:00;March 12, 2022;;4.622;;;
18:00;March 12, 2022;;3.686;;;
19:00;March 12, 2022;;0;;;
20:00;March 12, 2022;;0;;;
21:00;March 12, 2022;;0;;;
22:00;March 12, 2022;;0;;;
23:00;March 12, 2022;;0;;;
00:00;March 11, 2022;;0;;;
01:00;March 11, 2022;;0;;;
02:00;March 11, 2022;;0;;;
03:00;March 11, 2022;;0;;;
04:00;March 11, 2022;;0;;;
05:00;March 11, 2022;;0;;;
06:00;March 11, 2022;;1.282;;;
07:00;March 11, 2022;;18.187;;;
08:00;March 11, 2022;;41.89;;;
09:00;March 11, 2022;;80.035;;;
10:00;March 11, 2022;;104.717;;;
11:00;March 11, 2022;;131.285;;;
12:00;March 11, 2022;;137.275;;;
13:00;March 11, 2022;;129.283;;;
14:00;March 11, 2022;;94.766;;;
15:00;March 11, 2022;;4.68;;;
16:00;March 11, 2022;;11.131;;;
17:00;March 11, 2022;;6.451;;;
18:00;March 11, 2022;;0.158;;;
19:00;March 11, 2022;;0;;;
20:00;March 11, 2022;;0;;;
21:00;March 11, 2022;;0;;;
22:00;March 11, 2022;;0;;;
23:00;March 11, 2022;;0;;;
00:00;March 10, 2022;;0;;;
01:00;March 10, 2022;;0;;;
02:00;March 10, 2022;;0;;;
03:00;March 10, 2022;;0;;;
04:00;March 10, 2022;;0;;;
05:00;March 10, 2022;;0;;;
06:00;March 10, 2022;;2.275;;;
07:00;March 10, 2022;;23.112;;;
08:00;March 10, 2022;;61.07;;;
09:00;March 10, 2022;;95.4;;;
10:00;March 10, 2022;;117.518;;;
11:00;March 10, 2022;;130.81;;;
12:00;March 10, 2022;;115.43;;;
13:00;March 10, 2022;;64.483;;;
14:00;March 10, 2022;;43.344;;;
15:00;March 10, 2022;;118.814;;;
16:00;March 10, 2022;;66.902;;;
17:00;March 10, 2022;;11.52;;;
18:00;March 10, 2022;;0.331;;;
19:00;March 10, 2022;;0;;;
20:00;March 10, 2022;;0;;;
21:00;March 10, 2022;;0;;;
22:00;March 10, 2022;;0;;;
23:00;March 10, 2022;;0;;;
00:00;March 9, 2022;;0;;;
01:00;March 9, 2022;;0;;;
02:00;March 9, 2022;;0;;;
03:00;March 9, 2022;;0;;;
04:00;March 9, 2022;;0;;;
05:00;March 9, 2022;;0;;;
06:00;March 9, 2022;;1.944;;;
07:00;March 9, 2022;;21.859;;;
08:00;March 9, 2022;;59.573;;;
09:00;March 9, 2022;;95.544;;;
10:00;March 9, 2022;;120.888;;;
11:00;March 9, 2022;;133.949;;;
12:00;March 9, 2022;;135.504;;;
13:00;March 9, 2022;;107.309;;;
14:00;March 9, 2022;;96.034;;;
15:00;March 9, 2022;;86.328;;;
16:00;March 9, 2022;;64.814;;;
17:00;March 9, 2022;;11.52;;;
18:00;March 9, 2022;;1.051;;;
19:00;March 9, 2022;;0;;;
20:00;March 9, 2022;;0;;;
21:00;March 9, 2022;;0;;;
22:00;March 9, 2022;;0;;;
23:00;March 9, 2022;;0;;;
00:00;March 8, 2022;;0;;;
01:00;March 8, 2022;;0;;;
02:00;March 8, 2022;;0;;;
03:00;March 8, 2022;;0;;;
04:00;March 8, 2022;;0;;;
05:00;March 8, 2022;;0;;;
06:00;March 8, 2022;;0.245;;;
07:00;March 8, 2022;;4.954;;;
08:00;March 8, 2022;;31.421;;;
09:00;March 8, 2022;;81.95;;;
10:00;March 8, 2022;;89.496;;;
11:00;March 8, 2022;;133.373;;;
12:00;March 8, 2022;;137.045;;;
13:00;March 8, 2022;;133.272;;;
14:00;March 8, 2022;;94.766;;;
15:00;March 8, 2022;;75.902;;;
16:00;March 8, 2022;;67.334;;;
17:00;March 8, 2022;;29.203;;;
18:00;March 8, 2022;;2.39;;;
19:00;March 8, 2022;;0;;;
20:00;March 8, 2022;;0;;;
21:00;March 8, 2022;;0;;;
22:00;March 8, 2022;;0;;;
23:00;March 8, 2022;;0;;;
00:00;March 7, 2022;;0;;;
01:00;March 7, 2022;;0;;;
02:00;March 7, 2022;;0;;;
03:00;March 7, 2022;;0;;;
04:00;March 7, 2022;;0;;;
05:00;March 7, 2022;;0;;;
06:00;March 7, 2022;;1.656;;;
07:00;March 7, 2022;;24.206;;;
08:00;March 7, 2022;;64.627;;;
09:00;March 7, 2022;;97.445;;;
10:00;March 7, 2022;;119.635;;;
11:00;March 7, 2022;;123.394;;;
12:00;March 7, 2022;;97.344;;;
13:00;March 7, 2022;;124.891;;;
14:00;March 7, 2022;;95.198;;;
15:00;March 7, 2022;;90.504;;;
16:00;March 7, 2022;;38.232;;;
17:00;March 7, 2022;;3.931;;;
18:00;March 7, 2022;;0.907;;;
19:00;March 7, 2022;;0;;;
20:00;March 7, 2022;;0;;;
21:00;March 7, 2022;;0;;;
22:00;March 7, 2022;;0;;;
23:00;March 7, 2022;;0;;;
00:00;March 6, 2022;;0;;;
01:00;March 6, 2022;;0;;;
02:00;March 6, 2022;;0;;;
03:00;March 6, 2022;;0;;;
04:00;March 6, 2022;;0;;;
05:00;March 6, 2022;;0;;;
06:00;March 6, 2022;;1.426;;;
07:00;March 6, 2022;;18.619;;;
08:00;March 6, 2022;;64.973;;;
09:00;March 6, 2022;;99.173;;;
10:00;March 6, 2022;;101.851;;;
11:00;March 6, 2022;;126.648;;;
12:00;March 6, 2022;;136.512;;;
13:00;March 6, 2022;;128.131;;;
14:00;March 6, 2022;;120.989;;;
15:00;March 6, 2022;;101.549;;;
16:00;March 6, 2022;;59.99;;;
17:00;March 6, 2022;;13.061;;;
18:00;March 6, 2022;;0.691;;;
19:00;March 6, 2022;;0;;;
20:00;March 6, 2022;;0;;;
21:00;March 6, 2022;;0;;;
22:00;March 6, 2022;;0;;;
23:00;March 6, 2022;;0;;;
00:00;March 5, 2022;;0;;;
01:00;March 5, 2022;;0;;;
02:00;March 5, 2022;;0;;;
03:00;March 5, 2022;;0;;;
04:00;March 5, 2022;;0;;;
05:00;March 5, 2022;;0;;;
06:00;March 5, 2022;;1.613;;;
07:00;March 5, 2022;;24.106;;;
08:00;March 5, 2022;;63.158;;;
09:00;March 5, 2022;;93.254;;;
10:00;March 5, 2022;;119.477;;;
11:00;March 5, 2022;;123.552;;;
12:00;March 5, 2022;;105.005;;;
13:00;March 5, 2022;;113.846;;;
14:00;March 5, 2022;;93.658;;;
15:00;March 5, 2022;;63.533;;;
16:00;March 5, 2022;;61.978;;;
17:00;March 5, 2022;;16.978;;;
18:00;March 5, 2022;;0.965;;;
19:00;March 5, 2022;;0;;;
20:00;March 5, 2022;;0;;;
21:00;March 5, 2022;;0;;;
22:00;March 5, 2022;;0;;;
23:00;March 5, 2022;;0;;;
00:00;March 4, 2022;;0;;;
01:00;March 4, 2022;;0;;;
02:00;March 4, 2022;;0;;;
03:00;March 4, 2022;;0;;;
04:00;March 4, 2022;;0;;;
05:00;March 4, 2022;;0;;;
06:00;March 4, 2022;;0.403;;;
07:00;March 4, 2022;;10.843;;;
08:00;March 4, 2022;;20.88;;;
09:00;March 4, 2022;;37.224;;;
10:00;March 4, 2022;;48.773;;;
11:00;March 4, 2022;;66.845;;;
12:00;March 4, 2022;;108.965;;;
13:00;March 4, 2022;;135.706;;;
14:00;March 4, 2022;;124.718;;;
15:00;March 4, 2022;;101.736;;;
16:00;March 4, 2022;;70.747;;;
17:00;March 4, 2022;;31.968;;;
18:00;March 4, 2022;;3.11;;;
19:00;March 4, 2022;;0;;;
20:00;March 4, 2022;;0;;;
21:00;March 4, 2022;;0;;;
22:00;March 4, 2022;;0;;;
23:00;March 4, 2022;;0;;;
00:00;March 3, 2022;;0;;;
01:00;March 3, 2022;;0;;;
02:00;March 3, 2022;;0;;;
03:00;March 3, 2022;;0;;;
04:00;March 3, 2022;;0;;;
05:00;March 3, 2022;;0;;;
06:00;March 3, 2022;;1.858;;;
07:00;March 3, 2022;;28.829;;;
08:00;March 3, 2022;;51.466;;;
09:00;March 3, 2022;;83.102;;;
10:00;March 3, 2022;;100.267;;;
11:00;March 3, 2022;;124.963;;;
12:00;March 3, 2022;;130.478;;;
13:00;March 3, 2022;;128.203;;;
14:00;March 3, 2022;;107.194;;;
15:00;March 3, 2022;;104.558;;;
16:00;March 3, 2022;;71.683;;;
17:00;March 3, 2022;;28.123;;;
18:00;March 3, 2022;;1.051;;;
19:00;March 3, 2022;;0;;;
20:00;March 3, 2022;;0;;;
21:00;March 3, 2022;;0;;;
22:00;March 3, 2022;;0;;;
23:00;March 3, 2022;;0;;;
00:00;March 2, 2022;;0;;;
01:00;March 2, 2022;;0;;;
02:00;March 2, 2022;;0;;;
03:00;March 2, 2022;;0;;;
04:00;March 2, 2022;;0;;;
05:00;March 2, 2022;;0;;;
06:00;March 2, 2022;;0.648;;;
07:00;March 2, 2022;;8.597;;;
08:00;March 2, 2022;;31.81;;;
09:00;March 2, 2022;;55.958;;;
10:00;March 2, 2022;;65.621;;;
11:00;March 2, 2022;;86.645;;;
12:00;March 2, 2022;;91.138;;;
13:00;March 2, 2022;;71.237;;;
14:00;March 2, 2022;;72.878;;;
15:00;March 2, 2022;;48.499;;;
16:00;March 2, 2022;;48.989;;;
17:00;March 2, 2022;;12.715;;;
18:00;March 2, 2022;;2.347;;;
19:00;March 2, 2022;;0;;;
20:00;March 2, 2022;;0;;;
21:00;March 2, 2022;;0;;;
22:00;March 2, 2022;;0;;;
23:00;March 2, 2022;;0;;;
00:00;March 1, 2022;;0;;;
01:00;March 1, 2022;;0;;;
02:00;March 1, 2022;;0;;;
03:00;March 1, 2022;;0;;;
04:00;March 1, 2022;;0;;;
05:00;March 1, 2022;;0;;;
06:00;March 1, 2022;;2.966;;;
07:00;March 1, 2022;;17.453;;;
08:00;March 1, 2022;;30.83;;;
09:00;March 1, 2022;;47.347;;;
10:00;March 1, 2022;;70.258;;;
11:00;March 1, 2022;;45.576;;;
12:00;March 1, 2022;;57.917;;;
13:00;March 1, 2022;;83.448;;;
14:00;March 1, 2022;;109.368;;;
15:00;March 1, 2022;;69.509;;;
16:00;March 1, 2022;;36.965;;;
17:00;March 1, 2022;;7.157;;;
18:00;March 1, 2022;;0.634;;;
19:00;March 1, 2022;;0;;;
20:00;March 1, 2022;;0;;;
21:00;March 1, 2022;;0;;;
22:00;March 1, 2022;;0;;;
23:00;March 1, 2022;;0;;;